First operator; Second operator; Third operator; Left value; Right value; Expected result
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; 0.09437315367243171; 0.1690852531923226; 0.981860317846561
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.25570572413260306; -0.2192389602917908; -0.11212131419898275
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; 0.4093637092487967; 0.990764812058424; 2.289472049685357
DoubleProductOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; 0.2436085937999113; -0.250905550517474; 4.460100490819902E-4
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 0.16566362572955384; 0.8405260955402785; 2.647640140087686
DoubleProductOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.25400830038910716; 0.14327746824123988; 0.004029900942353151
DoubleProductOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; 0.05483726420096513; -0.3422920109899499; 3.523263184454679E-4
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 0.3920361804959198; 0.13992802622867573; 1.2343141221675678
DoubleProductOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; 0.398762402271297; 0.22434970040816538; 0.008003489788479527
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 0.7914136842473991; 0.9860892801012746; 3.3463886313701394
DoubleSumOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; -0.9428469043015524; -0.042850784404901976; -0.9452959592833993
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.25095593572428165; -0.5210517823999625; -0.26152207522597476
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.4161241538158664; 0.8856946381949273; 0.7371178637162282
DoubleSumOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.2867705986003115; 0.42029619831962295; 0.827595389301488
DoubleSumOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; -0.1058896146450643; 0.9809302283913033; 1.750081227492478
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; 0.8650114028181317; 0.8954333965746739; 1.4533329195842346
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 0.7308619854416032; 0.6958630913998256; 2.494105447917435
DoubleSumOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; -0.38400611242486815; 0.6988170887860226; 0.04646094280036994
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 0.4435612498879331; 0.19375832501608103; 0.09506951352513686
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.3536828211629608; -0.24710421860197007; 0.36094506714950864
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; 0.6542184245384721; 0.2911134540160891; 0.8936523606114958
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; 0.5571526303219785; -0.19142513410363904; 0.1337566014901355
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; 0.07322968349726744; 0.6262890633583669; 0.048706182493745045
DoubleProductOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; 0.2508321487595415; 0.2671850747536335; 0.004491493606067722
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.714128048247658; 0.19131895068632554; 0.2732524576928312
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.8101653613255253; 0.2516430028263532; 0.3119472249434777
DoubleSumOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; 0.4922288042358669; 0.36696232000265017; 0.15519519785522704
DoubleSumOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.6810381225132018; 0.25043246059523905; 1.102024635888584
DoubleProductOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.6126495656483886; -0.9566242132252691; -0.9197127713488293
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.7826923102802781; -0.3187159030348683; 1.213100052358063
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; -0.8853980679325058; -0.31302284326974283; 0.5542996412995397
DoubleSumOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; -0.2641579062036936; -0.9946518787252185; -0.33074617543735335
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; 0.06090392377873166; 0.051437019489616764; 0.001483605929177847
DoubleSumOfTwo; DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 0.9473384524305559; 0.634951851782737; 2.5157824263741833
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; 0.4088533283402449; 0.7491019908772547; 1.7426338005590567
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.7421723148654873; 0.17005389892095168; 0.3273194818628847
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 0.2796953778383471; 0.46675792170246155; 1.462252675571582
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; 0.27920485007346274; -0.3756962202836873; 0.009310584525046616
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 0.4348386980357115; 0.012814253056218083; 1.7579795920782462
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 0.5622078178094405; 0.17193338090440347; 0.8548734273885767
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 0.05890949334931461; 0.3766969574233878; 1.7129384224203639
DoubleProductOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; -0.7592327010600446; 0.725272392294626; -0.5846108261715478
DoubleSumOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; -0.10346411308757819; -0.08998404501441293; -0.38689631620398224
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.18633761516329117; 0.9587697806630813; 0.5966514502986952
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 0.550470833868187; 0.5723876293942538; 0.47215149953024754
DoubleSumOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; 0.9785539692198701; -0.26045413184052846; 1.4361996747586834
DoubleSumOfTwo; DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 0.08692386389909124; 0.14572750429866188; 0.594888120169028
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.6070361212242266; -0.7694365425823781; -0.9341515486747726
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 0.04005734660156479; 0.7210632294234738; 1.0781816151045773
DoubleSumOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; 0.7733040408385019; 0.08244673310801964; 1.711501547893043
DoubleProductOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; -0.7622718504466726; -0.8318651191431043; 0.4020921486874746
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 0.71410143303831; 0.7060509326360205; 1.4201295473208315
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumSqrtsOfTwo; -0.9206378225476926; -0.6295363752458008; 1.5225964635724871
DoubleProductOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.6040689635264818; 0.45088721450682345; 0.04172164919738443
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 0.04390545715323979; 0.7074481460883328; 2.1012713166515713
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 0.4034182946092546; 0.9016806093390466; 2.0682174131689703
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 0.7867598127646767; 0.341790844728451; 2.2754376036220814
DoubleProductOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; 0.3573462046468747; 0.6876942265617634; 0.2568133790654936
DoubleProductOfTwo; DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 0.3282727188208423; 0.3468564689065894; 1.1590991382060305
DoubleSumOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.8620215777173921; -0.49704940932529573; -0.06349514763799291
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.9315030334419399; -0.0646105908123984; 0.9922423524251129
DoubleProductOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; -0.67108266799572; -0.4535152807972711; 0.0926266366108035
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 0.023392022797987355; 0.6976876538582315; 0.016128096570227964
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.14175182149017584; -0.6637555821518446; -0.18817712558859204
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.028798730780467796; 0.5192863167821908; 0.24057807202179765
DoubleSumOfTwo; DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 0.21683671416813288; -0.004032565135057231; 0.922614001699683
DoubleSumOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; -0.9764162649111248; 0.27443046974470797; 0.18810297241653168
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 0.7002945331465944; 0.978247883392307; 2.702517471159584
DoubleSumOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; -0.15433478784871135; 0.9272512497135368; 0.6298093369578343
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 0.7712948900538792; 0.7392503628747913; 2.625373962088628
DoubleProductOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; 0.12048184772871862; -0.9744663040319339; -0.971389957162358
