Operator 1, Operator 2, Operator 3, left, right, result
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo, -0.7848486757713184, 0.9118903897582451, 0.016139597092736074
DoubleSumOfTwo, DoubleProductOfTwo, DoubleProductOfTwo, 0.10113028027574611, 0.9179635942189408, 0.09460647469896591
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo, 0.38649337751525503, 0.6083850969234352, 2.803352724349132
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo, 0.5989270003157563, 0.9676807872190718, 2.454259959964769
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo, 0.4438266646422597, 0.5912421225038234, 1.0245174849203547
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo, -0.8960925741086099, -0.35935274333625955, 1.576142945094249
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, 0.272522316493935, 0.14653538418044487, 1.9024574685982736
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo, -0.8111188736961836, -0.09841153871552377, 0.8272455711018105
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumOfTwo, 0.4025774184763169, 0.8993034193002787, 1.9448452340855416
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumOfTwo, -0.8989490136033476, -0.08956586399443944, -0.907999732507454
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo, -0.37169756916851515, -0.2590284487803849, 0.6205811623217717
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo, -0.8451401416652686, -0.798593136746242, 1.6430740905055137
DoubleSumSqrtsOfTwo, DoubleSumSqrtsOfTwo, DoubleSumOfTwo, 0.8178263063819251, 0.7605619747445662, 3.5528790792160176
DoubleSumSqrtsOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo, 0.9539150917633867, 0.5575066933226345, 2.042019878409226
DoubleProductOfTwo, DoubleProductOfTwo, DoubleProductOfTwo, -0.6348724347005259, -0.04035880056168861, 6.565222415135697E-4
DoubleSumOfTwo, DoubleProductOfTwo, DoubleSumOfTwo, -0.1398976889139445, -0.9275362889403331, -0.9376737946477084
DoubleProductOfTwo, DoubleProductOfTwo, DoubleProductOfTwo, -0.8102115173904654, 0.5323878523753198, 0.18606003574206326
DoubleProductOfTwo, DoubleProductOfTwo, DoubleSumSqrtsOfTwo, -0.385681573660809, -0.09344442803918573, 0.379682994383406
DoubleSumOfTwo, DoubleSumOfTwo, DoubleProductOfTwo, -0.04274491433542238, 0.5988933568544645, 0.30930109011635637
DoubleSumOfTwo, DoubleSumOfTwo, DoubleSumOfTwo, 0.7790819019910056, 0.31601849039377994, 2.190200784769571
