First coefficient; Second coefficient; Left value; Right value; Expected result
0.4972032951630474; 0.7163859298264506; 0.33910635261417; 0.853634687242619; 0.7801366750829025
-0.9358798686355405; 0.547729919390344; 0.190391853779325; 0.41707472901720943; 0.05026040460007397
0.6522131694254429; -0.21640365910660742; -0.7032497738859866; -0.4533731448930247; -0.36055715642838476
0.8776279267257168; -0.6299403241197634; -0.21032610241134897; 0.18527024172288242; -0.30129725731623247
0.16744998187762739; -0.33431509379235314; -0.5861837706770037; 0.8536969700888191; -0.38356024440231473
0.3997105350284649; -0.2185464940556392; 0.02991375129556406; 0.05822931907646489; -7.689720003502057E-4
0.058892701676654946; 0.44259937343971356; -0.1007320664805944; 0.6999907129909935; 0.30388306744291743
-0.05441726068989494; -0.1412494535378872; -0.28310604716059906; 0.5155936285163438; -0.05742146270432598
-0.9328996649150705; 0.6227103172576427; 0.8688515524142022; -0.5837714127028344; -1.1740718037182725
0.1499661597762718; 0.6523563811105855; 0.9697936304360173; 0.7811169794582062; 0.6550028724753654
0.7231849721394461; -0.6955224896798589; -0.5134936793915963; -0.05737641188196707; -0.33144432738355045
0.697479230427422; -0.08407853938194454; 0.6638978445922448; 0.2198332380134016; 0.44457170016885295
0.4087694838586864; -0.4999801015547971; -0.9112632736725981; 0.8184238757046933; -0.781692270528228
0.22677482508031677; 0.299901529380074; -0.5256918456678654; -0.8832151027158683; -0.38409123642354714
0.36480521727305537; -0.8047216974132116; -0.22823977787333738; -0.2223379967091943; 0.09565714835383916
0.20389265995843897; 0.1092834285401525; -0.13456235897274937; 0.7322897667692421; 0.052590859096175224
0.19298888463065111; -0.0645446805466443; 0.1040476079281012; -0.4438213948720515; 0.04872634195431419
0.8818620657698897; -0.5727793116670121; 0.8238949766093111; 0.39818749507256457; 0.49848816670804674
0.007414232583747626; 0.614469332348812; -0.597490851070839; 0.23778772142153315; 0.14168332628613423
-0.5889159501700729; -0.25132075082319427; 0.5110245789148185; 0.07609364152353093; -0.3200744365724465
-0.30008362459640914; 0.6088714161425595; -0.011246529624371782; 0.5320684370870035; 0.3273361621477345
